scenario,beta,epsilon,delta,kappa,p,alpha,eta,f,Notes
ImpCollege,0.8,0.2,0.2,0.33,0.7,0.33,0.33,0.8,Based on the parameters used in The imperial college study
Diamond,1.265,0.2,0.2,0.33,0.25,0.33,0.33,0.8,Imp college with p from Tabata et al https://doi.org/10.1101/2020.03.18.20038125
